manudir,manudir-href,City,High,Low
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Warsaw, Poland","22","11"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Rome, Italy","21","9"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Sofia, Bulgaria","15","5"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Riga, Latvia","16","8"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Rostov-on-Don, Russia","29","18"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Riga, Latvia","22","12"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Samara, Russia","-8","-15"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Tirana, Albania","32","17"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Vaduz, Liechtenstein","25","14"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Sarajevo, Bosnia & Herzegovina","10","1"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Vaduz, Liechtenstein","6","-2"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Samara, Russia","0","-5"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Turin, Italy","13","3"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Rostov-on-Don, Russia","2","-3"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Reykjavík, Iceland","3","-2"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Vienna, Austria","3","-2"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Rotterdam, Netherlands","7","1"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Stockholm, Sweden","3","-3"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Zurich, Switzerland","4","-2"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Saint Petersburg, Russia","-5","-11"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Tirana, Albania","19","8"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Sofia, Bulgaria","26","14"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","San Marino, San Marino","28","18"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Volgograd, Russia","-5","-11"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Zagreb, Croatia","5","-2"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Ufa, Russia","-1","-8"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Warsaw, Poland","6","-2"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Volgograd, Russia","-4","-11"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Valletta, Malta","28","20"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Rostov-on-Don, Russia","28","17"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Warsaw, Poland","1","-3"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Sofia, Bulgaria","26","14"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Vaduz, Liechtenstein","20","11"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Turin, Italy","21","10"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Riga, Latvia","-2","-8"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Vaduz, Liechtenstein","15","6"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Tirana, Albania","22","10"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Vienna, Austria","21","11"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Reykjavík, Iceland","9","4"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Vaduz, Liechtenstein","11","2"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Skopje, Macedonia","30","16"
"April","https://www.currentresults.com/Weather/Europe/Cities/temperature-april.php","Samara, Russia","12","2"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Stockholm, Sweden","20","13"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Turin, Italy","17","7"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Tirana, Albania","13","3"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Turin, Italy","8","-2"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Rome, Italy","28","14"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Tirana, Albania","13","3"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Tallinn, Estonia","15","5"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Samara, Russia","9","1"
"October","https://www.currentresults.com/Weather/Europe/Cities/temperature-october.php","Volgograd, Russia","12","4"
